voltage(V),Current(mA),Multiplier
1.9,0.81493,1
2,0.81493,1
2.1,0.81353,0.998282061035917
2.2,0.81388,0.998711545776938
2.3,0.8145,0.999472347318175
2.4,0.81592,1.00121482826746
2.5,0.82006,1.0062950192041
2.6,0.82348,1.01049169867351
2.7,0.82418,1.01135066815555
2.8,0.82436,1.01157154602236
2.9,0.82494,1.01228326359319
3,0.82473,1.01202557274858
3.1,0.82569,1.01320358803824
3.2,0.82608,1.01368215674966
3.3,0.83878,1.02926631735241
3.4,0.87932,1.07901292135521
3.5,0.88043,1.08037500153387
3.6,0.88043,1.08037500153387
